imdb_title_id,title,year,genre,duration,country,director,production_company,budget,total_votes,median_vote,all18to29,all30to44,allover45,males,males18to29,males30to44,malesover45,females,females18to29,females30to44,femalesover45,rating_class
tt0238247,God's Army,2000,Drama,108,USA,Richard Dutcher,Zion Films,300000,990,7.0,6.6,6.4,5.9,6.3,6.6,6.3,5.9,7.1,7.6,7.2,6.3,Good
tt0238380,Equilibrium,2002,Action,107,USA,Kurt Wimmer,Dimension Films,20000000,299984,8.0,7.4,7.5,7.1,7.4,7.4,7.5,7.1,7.6,7.5,7.6,7.5,Excellent
tt0238552,Replicant,2001,Action,100,USA,Ringo Lam,Millennium Films,17000000,13081,6.0,5.8,5.3,5.2,5.3,5.8,5.3,5.1,5.6,6.0,5.4,5.9,Good
tt0238924,The Dangerous Lives of Altar Boys,2002,Comedy,104,USA,Peter Care,Egg Pictures,12000000,12793,7.0,7.3,7.0,6.7,6.9,7.2,7.0,6.7,7.2,7.4,7.2,6.7,Good
tt0238948,Double Take,2001,Action,88,USA,George Gallo,Kumbaya Productions Inc.,24000000,7840,6.0,5.8,5.4,5.1,5.3,5.7,5.4,5.0,5.9,6.3,5.7,6.2,Good
tt0239949,Say It Isn't So,2001,Comedy,95,USA,J.B. Rogers,Twentieth Century Fox,25000000,12227,5.0,5.0,4.9,5.2,5.1,5.2,5.0,5.2,4.6,4.8,4.4,5.1,Good
tt0239986,Sidewalks of New York,2001,Comedy,108,USA,Edward Burns,Artists Production Group (APG),1000000,6209,7.0,6.4,6.4,6.4,6.4,6.5,6.5,6.4,6.2,6.3,6.3,6.2,Good
tt0240462,Dr. Dolittle 2,2001,Comedy,87,USA,Steve Carr,Twentieth Century Fox,70000000,39725,5.0,4.8,4.5,4.7,4.6,4.7,4.5,4.6,5.0,5.0,4.8,5.2,Good
tt0240515,Freddy Got Fingered,2001,Comedy,87,USA,Tom Green,Regency Enterprises,14000000,44410,5.0,4.9,4.7,3.8,4.7,4.9,4.7,3.8,3.9,4.5,3.8,3.4,Good
tt0240772,Ocean's Eleven,2001,Crime,116,USA,Steven Soderbergh,Warner Bros.,85000000,483250,8.0,7.9,7.7,7.5,7.8,7.9,7.7,7.4,7.8,7.8,7.7,7.6,Excellent
tt0240802,The Photographer,2000,Comedy,91,USA,Jeremy Stein,The Photographer Company LLC,500000,298,6.0,5.2,5.2,5.2,5.1,7.2,5.1,5.0,5.6,5.0,5.4,6.0,Good
tt0240890,Serendipity,2001,Comedy,90,USA,Peter Chelsom,Miramax,28000000,99234,7.0,7.0,6.8,6.8,6.9,7.0,6.8,6.8,6.9,7.0,6.8,6.8,Good
tt0241183,Angels Don't Sleep Here,2002,Thriller,88,USA,Paul Cade,Silverline Pictures,3500000,545,1.0,1.3,1.8,2.9,2.0,1.4,1.7,2.9,2.5,1.0,2.6,3.2,Bad
tt0241760,The New Guy,2002,Comedy,88,USA,Ed Decter,Revolution Studios,13000000,32412,6.0,6.0,5.8,5.7,5.9,6.1,5.8,5.7,5.9,6.0,5.9,6.2,Good
tt0242252,The Affair of the Necklace,2001,Drama,118,USA,Charles Shyer,Alcon Entertainment,30000000,4893,6.0,6.2,6.0,6.1,6.0,6.0,5.9,6.0,6.2,6.3,6.1,6.4,Good
tt0242423,"Dude, Where's My Car?",2000,Comedy,83,USA,Danny Leiner,Twentieth Century Fox,13000000,130071,6.0,5.8,5.4,5.2,5.6,5.9,5.5,5.2,5.3,5.6,5.1,5.3,Good
tt0242508,Harvard Man,2001,Comedy,99,USA,James Toback,Alliance Cinema,5500000,4071,5.0,5.1,4.9,4.7,4.9,5.1,5.0,4.7,4.5,5.1,4.5,4.2,Good
tt0242587,L.I.E.,2001,Crime,97,USA,Michael Cuesta,Alter Ego Entertainment,700000,9273,7.0,7.1,7.0,7.3,7.1,7.1,7.0,7.3,7.0,6.9,7.1,6.9,Good
